"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD"
"BON_A01 P07 50x50 2014","BON_A01","50x50","AC","Bonal","P07",2014,"PaiSus",25,1,24.7092690835211,10.4,71,29.252,16.3743987166959,0.25,0.05,114.932866379132,55.1677758619836,75.8505045384221,36.4082421784426,190.783370917555,91.5760180404262
"BON_A01 P08 50x50 2014","BON_A01","50x50","AC","Bonal","P08",2014,"PaiSus",30,1,28.7812797790163,10.2,67,29.9766666666667,16.0843612916684,0.25,0.05,68.9558925246474,33.0988284118308,101.333939989116,48.6402911947755,170.289832513763,81.7391196066062
"BON_A01 P09 50x50 2014","BON_A01","50x50","AC","Bonal","P09",2014,"PaiSus",19,3,22.1075485595982,10.4,96,27.8894736842105,22.7983891910723,0.25,0.05,26.8000808271518,12.8640387970329,83.0701784422159,39.8736856522636,109.870259269368,52.7377244492965
"BON_A01 P10 50x50 2014","BON_A01","50x50","AC","Bonal","P10",2014,"PaiSus",23,0,30.8184037221092,11.8,96,31.295652173913,19.6851923642867,0.25,0.05,86.5087715958328,41.5242103659997,105.97185789813,50.8664917911024,192.480629493963,92.3907021571021
"CAU_A01 T01_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T01_P1",2018,"PaiSus",66,3,62.3904910166196,10.7,80.1,25.90625,16.4794231964862,0.25,0.1,113.389384022147,54.4269043306308,203.789017375298,97.8187283401433,317.178401397446,152.245632670774
"CAU_A01 T01_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T01_P2",2018,"PaiSus",65,2,50.6182206080541,10.2,62.6,24.6349206349206,14.5118100817382,0.25,0.1,113.953159798879,54.6975167034617,157.325759380456,75.5163645026189,271.278919179335,130.213881206081
"CAU_A01 T02_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T02_P1",2018,"PaiSus",74,3,79.5245336229901,11,80.8,27.0256756756757,17.0318240467405,0.25,0.1,116.531089799945,55.9349231039736,271.210642237631,130.181108274063,387.741732037576,186.116031378037
"CAU_A01 T02_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T02_P2",2018,"PaiSus",57,4,80.6583304661033,10.4,90.1,30.3649122807018,18.4475365295756,0.25,0.1,85.2351470471914,40.9128705826519,287.951029529232,138.216494174031,373.186176576423,179.129364756683
"CAU_A01 T02_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T02_P3",2018,"PaiSus",63,1,49.015473231542,10.1,59.3,24.4190476190476,14.1383812681931,0.25,0.1,113.387575385036,54.4260361848174,151.321256053253,72.6342029055612,264.708831438289,127.060239090379
"CAU_A01 T02_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T02_P4",2018,"PaiSus",54,0,63.8294798630266,10.5,90.4,28.1622641509434,17.1340442306571,0.25,0.1,139.09583665793,66.7660015958062,199.131917323022,95.5833203150507,338.227753980952,162.349321910857
