"parcela","state","Name","location","plotID","sizeplot","year","owner","Alive.parcela","Dead.parcela","NA.height","No.height"
"FEA_A01 P14 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P14","50x50",2013,"MarVin","161","0",158,0
"FEA_A01 P15 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P15","50x50",2013,"MarVin","76","35",76,0
"FEA_A01 P16 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P16","50x50",2013,"MarVin","115","0",104,0
"FEA_A01 P17 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P17","50x50",2013,"MarVin","89","0",88,0
"FEA_A01 P18 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P18","50x50",2013,"MarVin","150","0",149,0
"FEA_A01 P19 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P19","50x50",2013,"MarVin","132","0",128,0
"FEA_A01 P20 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P20","50x50",2013,"MarVin","142","2",139,0
"FEA_A01 P21 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P21","50x50",2013,"MarVin","127","1",123,0
"FEA_A01 P22 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P22","50x50",2013,"MarVin","171","0",171,0
"FEA_A01 P23 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P23","50x50",2013,"MarVin","94","2",93,0
"FEA_A01 P24 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P24","50x50",2013,"MarVin","120","0",120,0
"FEA_A01 P25 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P25","50x50",2013,"MarVin","97","2",96,0
"FEA_A01 P26 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P26","50x50",2013,"MarVin","147","6",147,0
"FEA_A01 P27 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P27","50x50",2013,"MarVin","110","0",110,0
"FEA_A01 P28 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P28","50x50",2013,"MarVin","142","5",138,0
"FEA_A01 P29 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P29","50x50",2013,"MarVin","158","2",155,0
"FEA_A01 P30 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P30","50x50",2013,"MarVin","121","3",118,0
"FEA_A01 P31 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P31","50x50",2013,"MarVin","130","0",124,0
"FEA_A01 P32 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P32","50x50",2013,"MarVin","147","0",142,0
"FEA_A01 P33 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P33","50x50",2013,"MarVin","158","1",155,0
"FEA_A01 P34 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P34","50x50",2013,"MarVin","167","0",167,0
"FEA_A01 P35 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P35","50x50",2013,"MarVin","135","0",133,0
"FEA_A01 P36 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P36","50x50",2013,"MarVin","113","1",113,0
"FEA_A01 P37 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P37","50x50",2013,"MarVin","143","0",142,0
"FEA_A01 P38 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P38","50x50",2013,"MarVin","93","22",93,0
